Name,City,Province,Est.,Students,Students,Students,Faith-based,Ref.
Name,City,Province,Est.,Undergrad.,Postgrad.,Total,Faith-based,Ref.
Ambrose University,Calgary,Alberta,1921,920.0,0.0,920.0,Yes,[35]
Booth University College,Winnipeg,Manitoba,1982,250.0,0.0,250.0,Yes,[36][needs update]
Burman University,Lacombe,Alberta,1907,,,,Yes,
Canadian Mennonite University,Winnipeg,Manitoba,1999,1235.0,64.0,1299.0,Yes,[37]
Concordia University of Edmonton,Edmonton,Alberta,1921,2808.0,290.0,3098.0,No[note 9],[37]
Crandall University,Moncton,New Brunswick,1949,685.0,0.0,685.0,Yes,[38][needs update]
Kingswood University,Sussex,New Brunswick,1945,300.0,0.0,300.0,Yes,[39][needs update]
Pacific Coast University for Workplace Health Sciences,Port Alberni,British Columbia,2007,,,,No,
Providence University College and Theological Seminary,Otterburne,Manitoba,1925,,,,Yes,
Quest University,Squamish,British Columbia,2007,700.0,0.0,700.0,No,[40][needs update]
Redeemer University College,Hamilton,Ontario,1982,787.0,0.0,787.0,Yes,[37]
"St. Mary's University, Calgary",Calgary,Alberta,1986,1025.0,0.0,1025.0,Yes,[41][needs update]
St. Stephen's University,St. Stephen,New Brunswick,1975,100.0,0.0,100.0,No[note 10],[43][needs update]
The King's University,Edmonton,Alberta,1979,819.0,40.0,859.0,Yes,[37]
Trinity Western University,Langley,British Columbia,1962,3364.0,1402.0,4766.0,Yes,[37]
Tyndale University,Toronto,Ontario,1894,850.0,0.0,850.0,Yes,[44][needs update]
University Canada West,Vancouver,British Columbia,2005,350.0,0.0,350.0,No,[45][needs update]
University of Fredericton,Fredericton,New Brunswick,2005,,,,No,
Yorkville University,"Fredericton, Toronto, Vancouver, Vaughan","British Columbia, New Brunswick, Ontario",2003,,,,No,
